Id	WholesalerId	Listprice	Deliverytime	MaxBoDays	Fillingrate	Mechanical	Stock	FrDtType	SortcodeId	GenreId	Artist	Title	Eancode	MajorId	OriginId	MediaId	SubmediaId	LabelId	LanguageId	StatuscodeId	Suffix	Infoline	Prefix	Releasedate	Activated	Units	Eanpref
R75138	0	10.60000	15	45	85	0.00000	0	1		ROC	BOLU2 DEATH	DUALITAS	8435383621115	91	EU	CD	STAND	NECRO		V	163370			2016-04-01 00:00:00.000	2016-04-01 08:30:59.000	1	1
514327	0	14.20000	10	90	90	0.00000	0	1		STM	METALLICA	PLAY GUITAR WITH	9780711946361	0	EU	BOOK	STAND				92559	W/DEMO CD WITH & WITHOUT THE GUITAR, PLAY ALONG!, LYRIC	AM	1997-10-21 00:00:00.000	2009-04-29 12:40:25.000	1	1
534293	0	12.80000	3	30	95	0.00000	1	1		HM.	METALLICA	RIDE THE LIGHTNING	0042283814028	12	NLD	CD	STAND	POLYG	EN		8381402		00422	1989-10-02 00:00:00.000	2007-11-19 14:10:23.000	1	1
472274	0	8.80000	10	90	90	0.00000	0	1		HM.	METALLICA	TALKING	9781844490998	0	EU	BOOK	STAND	OMNIB	EN		49896	BY MARK PUTTERFORD	OP	2004-03-25 00:00:00.000	2009-04-29 12:40:25.000	1	1
463810	0	12.20000	18	90	80	0.00000	0	1	2	ROC	METALLICA	CLASSIC ALBUM SERIES	5034504916272	0	EU	DVD	STAND	EVISI	EN		162	PAL/REGION 2 W/MAKING OF THE BLACK ALBUM	EREDV	2001-05-31 00:00:00.000	2007-11-19 14:05:21.000	1	0
454147	0	5.40000	15	75	95	0.00000	0	1		SPW	METALLICA	X-POSED: THE INTERVIEW	5037320700728	0	EU	CD	STAND	CH.DR	EN		7007		CTCD	2001-03-15 00:00:00.000	2007-11-19 14:04:42.000	1	1
440065	0	14.20000	10	90	90	0.00000	0	1		HM.	METALLICA	COMPLETE CHORD SONGBOOK	9780711932104	0	EU	BOOK	STAND	WISEP	EN		90148	EARLY YEARS -192 PAGES- GUITARTABS!!	AM	2005-05-01 00:00:00.000	2009-04-29 12:40:25.000	1	1
417838	0	18.80000	10	90	90	0.00000	0	1		HM.	METALLICA	LEGENDARY LICKS -DRUM-	0073999368390	0	EU	DVD	STAND	HLC	EN		02500485	1988-1997	HL	2003-03-13 00:00:00.000	2007-11-19 14:01:52.000	1	1
417747	0	18.80000	10	90	90	0.00000	0	1		HM.	METALLICA	LEGENDARY LICK -GUITAR	0073999794397	0	EU	DVD	STAND	HLC	EN		02500480	1988-1997	HL	2003-03-13 00:00:00.000	2007-11-19 14:01:52.000	1	1
417727	0	18.80000	10	90	90	0.00000	0	1		HM.	METALLICA	LEGENDARY LICKS-DRUM-	0073999185683	0	EU	DVD	STAND	HLC	EN		02500482	1983-1988, EDUCATIONAL MATERIAL	HL	2003-03-26 00:00:00.000	2007-11-19 14:01:52.000	1	1
417688	0	18.80000	10	90	90	0.00000	0	1		EDU	METALLICA	LEGENDARY LICK -GUITAR-	0073999958652	0	EU	DVD	STAND	HLC	EN		02500479	1983-1988, EDUCATIONAL MATERIAL	HL	2003-03-13 00:00:00.000	2007-11-19 14:01:52.000	1	1
163924	0	16.00000	10	90	90	0.00000	0	1		HM.	METALLICA	ST. ANGER	9781844493340	0	EU	BOOK	STAND	WISEP	EN		163924	INSTRUCTIONAL BOOK, BASS TABS + LYRICS OF ST.ANGER	AM	2003-11-25 00:00:00.000	2009-04-29 12:40:25.000	1	1
138371	0	12.80000	3	30	95	0.00000	1	1		STM	METALLICA	KILL 'EM ALL -10TR-	0042283814226	12	NLD	CD	STAND	VERTI			8381422		00422	2000-05-25 00:00:00.000	2007-11-19 13:38:02.000	1	1
130762	0	20.00000	4	30	80	0.00000	0	1	2	HM.	METALLICA	S & M SYMPHONY	0085364021823	05	NLD	DVD	STAND	ELEKT	EN		8536402182	PAL/REGION 2 / INCL. 40 MINUTE MAKING OF DOCUMENTARY		2000-06-08 00:00:00.000	2007-11-19 13:37:12.000	2	1
013709	0	12.80000	3	30	95	0.00000	1	1		HM.	METALLICA	AND JUSTICE FOR ALL	0042283606227	12	NLD	CD	STAND	VERTI	EN		8360622		00422	2000-05-25 00:00:00.000	2007-11-19 13:30:15.000	1	1
145362	0	13.50000	3	30	95	0.00000	0	1		STM	METALLICA	GARAGE INC. -27TR-	0731453835122	12	NLD	CD	STAND	MERCU			5383512	ALL 'THEIR' COVERS INCL. 11 'NEW(1998)' COVERS	07314	1998-11-23 00:00:00.000	2007-11-19 13:38:58.000	2	1
