Id	WholesalerId	MainGenre	Description
2ST	0	DAN	2-STEP
A/R	0	ROC	ALTERNATIVE ROCK
ACJ	0	DAN	ACID-JAZZ
ACT	0	MOV	ACTION
ADU	0	MOV	ADULT
ADV	0	MOV	ADVENTURE
AGE	0	POP	NEWAGE
AMB	0	DAN	AMBIENT
AME	0	ROC	AMERICANA
ANI	0	MOV	ANIMATION
AOR	0	ROC	ADULT-ORIENTATED ROCK
ARA	0	WOR	ARABIAN MUSIC
ART	0	MOV	ARTHOUSE FILMS
AXE	0	BRA	AXE
BAS	0	DAN	BASS
BBE	0	DAN	BREAKBEATS
BGR	0	COU	BLUEGRASS
BIL	0	ROC	ROCKABILLY/PSYCHOBILLY
BIO	0	MOV	BIOGRAPHY
BLM	0	ROC	BLACK METAL
BLU	0	BLU	BLUES
BOL	0	MOV	BOLLYWOOD
BOS	0	BRA	BOSSANOVA
BRA	0	BRA	BRAZIL
BRE	0	BRA	BREGA
CAB	0	MOV	CABARET
CAJ	0	POP	CAJUN
CAR	0	MOV	CARTOON
CHA	0	POP	CHANSONS
CHI	0	MOV	CHILDREN
CHO	0	BRA	CHORO
CHR	0	MOV	CHRISTIAN
CLS	0	CLS	CLASSICAL
COM	0	MOV	COMEDY
COU	0	COU	COUNTRY
CRI	0	MOV	CRIME
CUB	0	WOR	CUBAN
CUL	0	MOV	CULTMOVIE
D&B	0	DAN	DRUM&BASS
DAN	0	DAN	DANCE
DET	0	MOV	DETECTIVE
DOC	0	MOV	DOCUMENTARY
DOO	0	POP	DOOWOP
DRA	0	MOV	DRAMA
DUB	0	WOR	DUB
EDU	0	MOV	EDUCATION
ELE	0	DAN	ELECTRONIC
EMO	0	ROC	EMOTIONALHC.
ERO	0	MOV	EROTIC
EXP	0	VAR	EXPERIMENTAL MUSIC
FAD	0	WOR	FADO
FAM	0	MOV	FAMILY
FAN	0	MOV	FANTASY
FLA	0	WOR	FLAMENCO
FNK	0	DAN	FUNK
FOL	0	WOR	FOLK
FOR	0	BRA	FORRO
FUS	0	JAZ	FUSION
GAB	0	DAN	GABBER
GAN	0	MOV	GANGSTER
GAR	0	ROC	GARAGE
GAU	0	BRA	GAUCHO
GAY	0	MOV	GAY-ARTHOUSE
GOS	0	BLU	GOSPEL
GOT	0	ROC	GOTHIC
GUI	0	ROC	GUITAR
HC.	0	ROC	HARDCORE
HEA	0	DAN	HEADZ
HIP	0	DAN	HIP-HOP
HIS	0	MOV	HISTORY
HM.	0	ROC	HEAVY METAL
HOR	0	MOV	HORROR
HOU	0	DAN	HOUSE
HR.	0	ROC	HARDROCK
IND	0	ROC	INDUSTRIAL
INS	0	POP	INSTRUMENTAL
JAZ	0	JAZ	JAZZ
JEB	0	WOR	JEBALI
JNG	0	DAN	JUNGLE
JPO	0	POP	JAPANESE POP
KID	0	MOV	KIDS VIDEO
KLE	0	WOR	KLEZMER
KPO	0	POP	KOREAN POP
LAT	0	WOR	LATIN
LOF	0	POP	LOFI
LOU	0	DAN	LOUNGE
M/A	0	M_A	METAL/ALTERNATIVE
M_A	0	M_A	Metal alternative
MAR	0	MOV	MARTIAL ARTS
MIS	0	VAR	MISCELLANEOUS
MIZ	0	WOR	MIZRACHI
MOR	0	POP	MIDDLE OF THE ROAD
MOV	0	MOV	MOVIE
MPB	0	BRA	MUSICA POPULAR BRAZIL
MUS	0	POP	MUSICAL
NAT	0	MOV	NATURE
NED	0	POP	NEDERLANDS(DUTCH)
NOR	0	BRA	NORTH-EAST BRAZILIAN MUSIC
OLD	0	POP	OLDIES
OST	0	POP	ORIGINAL SOUNDTRACK
PAG	0	BRA	PAGODE
POP	0	POP	POPULAR
PRG	0	ROC	PROGRESSIVE ROCK
PUN	0	ROC	PUNK
R&B	0	POP	RHYTHM&BLUES
R&R	0	ROC	ROCK&ROLL
RAG	0	WOR	RAGGA
RAI	0	WOR	RAI
RAP	0	DAN	RAP
RBH	0	DAN	R&B/HIP-HOP
REA	0	MOV	REALITY-TV
REG	0	WOR	REGGAE
REL	0	CLS	RELIGIOUS
ROC	0	ROC	ROCK
ROM	0	MOV	ROMANTIC
SAL	0	WOR	SALSA
SAM	0	BRA	SAMBA
SCI	0	MOV	SCIENCE FICTION
SER	0	BRA	SERTANEJO
SEX	0	MOV	SEX
SIX	0	POP	SIXTIES
SKA	0	POP	SKA
SOC	0	WOR	SOCA
SOU	0	DAN	SOUL
SPA	0	WOR	SPANISH
SPE	0	MOV	SPECIAL INTEREST
SPO	0	MOV	SPORT
SPW	0	POP	SPOKEN WORD
SRK	0	ROC	SOUTHERN ROCK
SSW	0	POP	SINGER-SONGWRITER
STM	0	ROC	SPEED/THRASH/DEATH METAL
STR	0	ROC	STONERROCK
SUR	0	ROC	SURF
SWI	0	BLU	SWING/R&B
SYM	0	POP	SYMPHONIC
SYN	0	POP	SYNTHESISER
T/H	0	DAN	TRIPHOP
TAN	0	WOR	TANGO
TEC	0	DAN	TECHNO
THR	0	MOV	THRILLER
TRA	0	DAN	TRANCE
TRO	0	WOR	TROPICAL
TRV	0	MOV	TRAVEL
TV.	0	MOV	TV-SOUNDTRACK
VAL	0	BRA	VALLENEJO
VAR	0	VAR	VARIOUS AUDIO
VID	0	MOV	VARIOUS VIDEO
WAR	0	MOV	WAR
WES	0	MOV	WESTERN
WOR	0	WOR	WORLD
XMA	0	VAR	CHRISTMAS
XXX	0	MOV	X-RATED ADULT
ZGM	0	POP	ZAAGMANS
ZYD	0	WOR	ZYDECO
